Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,5.80276310836428E-05,-6.11295497276811E-05,-0.0648336848302014,0,0,0,52.6386459244813,2.60615907779186,-1.86719960169964E-07,-4.07373488104584E-06,1.80507200469152,4.29150001997116E-06,4.2630437084624,0,0,0,0,0,0,package://hand_e/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_e/meshes/base_link.STL,,main_chassis-1,chasi_coor,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left,-1.38777878078145E-17,5.55111512312578E-17,5.55111512312578E-17,0,0,0,2.57407399381529,0.00947976967355967,-2.00803277362391E-19,5.87902952597009E-20,0.00947976967355967,7.00422786249909E-19,0.0120399994394116,0,0,0,0,0,0,package://hand_e/meshes/front_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_e/meshes/front_left.STL,,main_wheel-2,front_left_coor,front_left_axis,front_left,continuous,0.380999999999999,-0.203121668505498,-0.0635000000000014,0,1.5707963267949,0,base_link,0,0,-1,,,,,,,,2,,,,
rear_left,0,-2.77555756156289E-17,0,0,0,0,2.57407399381529,0.00947976967355967,7.28360102040024E-22,2.59581749825336E-22,0.00947976967355967,-6.2335073044409E-20,0.0120399994394116,0,0,0,0,0,0,package://hand_e/meshes/rear_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_e/meshes/rear_left.STL,,main_wheel-4,rare_left_coor,rear_left_axis,rear_left,continuous,0.380999999999999,0.203308839419647,-0.0635,0,1.5707963267949,0,base_link,0,0,1,,,,,,,,2,,,,
front_right,0,0,-5.55111512312578E-17,0,0,0,2.57407399381529,0.00947976967355968,2.83276051993413E-19,1.42649221499535E-32,0.00947976967355968,-4.00872542516456E-32,0.0120399994394116,0,0,0,0,0,0,package://hand_e/meshes/front_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_e/meshes/front_right.STL,,main_wheel-1,front_right_coor,front_right_axis,front_right,continuous,-0.381,-0.203121668505497,-0.0635,3.14159265358979,-1.5707963267949,0,base_link,0,0,-1,,,,,,,,2,,,,
rear_right,0,2.77555756156289E-17,-5.55111512312578E-17,0,0,0,2.57407399381529,0.00947976967355968,3.33476871334018E-19,3.06486896423945E-32,0.00947976967355968,-3.21321069290309E-32,0.0120399994394116,0,0,0,0,0,0,package://hand_e/meshes/rear_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_e/meshes/rear_right.STL,,main_wheel-3,rear_right_coor,rear_right_axis,rear_right,continuous,-0.381,0.203308839419645,-0.0635,3.14159265358979,-1.5707963267949,0,base_link,0,0,-1,,,,,,,,2,,,,
base,0.000468809221648677,7.22487927756407E-06,0.0184342922644863,0,0,0,0.723083511474943,0.00116917959377857,-3.75879736012242E-08,-3.04764040502731E-07,0.00119721400625644,8.31308767977868E-08,0.00219015492157671,0,0,0,0,0,0,package://hand_e/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://hand_e/meshes/base.STL,,ur_10-1/Base_-1,base_coor,base_axis,base,fixed,-0.00595281220058339,0.0110605867213414,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
base_connect,-0.0116180919174927,1.38467447423872E-06,0.116489279970554,0,0,0,0.313514079524471,0.00109341088249656,9.00039257151338E-08,8.76480121568793E-05,0.00117090750291461,6.76857903934236E-09,0.00103229346928198,0,0,0,0,0,0,package://hand_e/meshes/base_connect.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://hand_e/meshes/base_connect.STL,,ur_10-1/Size_4_Joint-1,base_coor,base_axis,base_connect,continuous,0,0,0,0,0,0,base,0,0,1,,,,,,,,,,,,
arm1_lower,-0.25096150116301,2.50635946441938E-06,0.0841410933131611,0,0,0,0.887819204634431,0.002059497821703,2.40499771631106E-06,0.000425170003573277,0.0463631650483672,-3.14589506399883E-07,0.0461700726342757,0,0,0,0,0,0,package://hand_e/meshes/arm1_lower.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://hand_e/meshes/arm1_lower.STL,,ur_10-1/Size 4 Joint_-1,base_connect_coor,base_connect_axis,arm1_lower,continuous,-0.0861999999999996,0,0.128,3.14159265358979,1.5707963267949,0,base_connect,0,0,-1,0,0,-1.57,1.57,,,,,,,,
arm2_lower,0.256850693950992,-3.24959102954159E-06,0.00322491337902426,0,0,0,0.473747284195782,0.000614889071011718,-2.90846533367841E-07,-9.68472196964982E-06,0.020329998137372,-5.61384249943774E-08,0.0202932042063235,0,0,0,0,0,0,package://hand_e/meshes/arm2_lower.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://hand_e/meshes/arm2_lower.STL,,ur_10-1/Size_3_Elbow-1,arm2_lower_coor,arm2_lower_axis,arm2_lower,continuous,-0.6129,0,-0.0380092894600003,0,0,3.14159265358979,arm1_lower,0,0,-1,,,,,,,,,,,,
arm2_upper,-0.00970308828175481,-8.57851149071477E-06,0.0466151734317388,0,0,0,0.0742764446430328,9.01020498619509E-05,5.0021545575801E-09,9.24585413820232E-06,0.000113727147236287,-1.31115213645778E-08,0.000105196921793077,0,0,0,0,0,0,package://hand_e/meshes/arm2_upper.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://hand_e/meshes/arm2_upper.STL,,ur_10-1/Size_2_Joint-1,arm2_upper_coor,arm2_upper_axis,arm2_upper,continuous,0.571600428429073,0,0.0615000000000024,0,0,-3.14159265358979,arm2_lower,0,0,1,,,,,,,,,,,,
vaccum_base,-0.00970309094636546,-8.59057528028451E-06,0.0464151792948282,0,0,0,0.0742764203687969,9.01020139421992E-05,5.01424741512049E-09,9.24584614646745E-06,0.000113727142465638,-1.312749073982E-08,0.000105196889441442,0,0,0,0,0,0,package://hand_e/meshes/vaccum_base.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://hand_e/meshes/vaccum_base.STL,,ur_10-1/Size_2_Joint-2,vaccum_base_coor,vaccum_base_axis,vaccum_base,continuous,-0.0617000000000023,0,0.0541999999999999,3.14159265358979,1.5707963267949,0,arm2_upper,0,0,1,,,,,,,,,,,,
vaccum_base_1,-0.0847516575364416,0.000313181833712036,-0.000630023335160601,0,0,0,0.0268694084591444,2.31730256637713E-05,-4.68378057497354E-08,-5.25186102354395E-08,1.26795760179578E-05,-8.0917605727407E-09,1.371781905329E-05,0,0,0,0,0,0,package://hand_e/meshes/vaccum_base_1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://hand_e/meshes/vaccum_base_1.STL,,ur_10-1/Tool_flange-1;ur_10-1/end_effector-1,vaccum_base1_coor,vaccum_base1_axis,vaccum_base_1,continuous,0,0,0.054,0,0,0,vaccum_base,-1,0,0,,,,,,,,,,,,
camera,1.94289029309402E-16,4.63171168085807E-15,0.003447418640663,0,0,0,0.00265523655302715,1.41037231479302E-07,-8.57519229309676E-25,2.702730134894E-22,1.41037231479302E-07,-2.32326860696384E-22,5.96790818794165E-08,0,0,0,0,0,0,package://hand_e/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hand_e/meshes/camera.STL,,camera-2,camera_coor,camera,camera,continuous,-0.078050000000011,0,0.0536999999999996,0,0,0,vaccum_base_1,0,0,-1,,,,,,,,,,,,
